Date,Cash Value,Holding Value,Total,AMZN,MSFT,NVDA,TSLA,GOOGL,META,AAPL
2013-02-12,3407.48273563385,6542.215757369995,9949.698493003845,0,0,0,0,0,29,344
2013-02-13,3407.48273563385,6546.941356658936,9954.424092292786,0,0,0,0,0,29,344
2013-02-14,3407.48273563385,6558.891571044922,9966.374306678772,0,0,0,0,0,29,344
2013-02-15,3407.48273563385,6474.674415588379,9882.157151222229,0,0,0,0,0,29,344
2013-02-19,3407.48273563385,6490.275321960449,9897.7580575943,0,0,0,0,0,29,344
2013-02-20,3407.48273563385,6339.782905578613,9747.265641212463,0,0,0,0,0,29,344
2013-02-21,2678.7948031425476,6988.549547672271,9667.34435081482,0,0,0,306,0,29,344
2013-02-22,2678.7948031425476,7061.93666934967,9740.731472492218,0,0,0,306,0,29,344
2013-02-25,2173.3815426826477,7436.536506175994,9609.918048858643,0,0,0,526,0,29,344
2013-02-26,1767.343558549881,7923.84626865387,9691.18982720375,0,0,0,703,0,29,344
2013-02-27,1767.343558549881,7886.10981965065,9653.453378200531,0,0,0,703,0,29,344
2013-02-28,1767.343558549881,7845.530416965485,9612.873975515366,0,0,0,703,0,29,344
2013-03-01,1767.343558549881,7718.1815638542175,9485.525122404099,0,0,0,703,0,29,344
2013-03-04,1150.1764051914215,8247.083664655685,9397.260069847107,0,0,0,703,0,29,385
2013-03-05,1150.1764051914215,8443.917883634567,9594.094288825989,0,0,0,703,0,29,385
2013-03-06,1150.1764051914215,8415.279826879501,9565.456232070923,0,0,0,703,0,29,385
2013-03-07,1150.1764051914215,8541.007891654968,9691.18429684639,0,0,0,703,0,29,385
2013-03-08,1150.1764051914215,8549.95088171959,9700.12728691101,0,0,0,703,0,29,385
2013-03-11,1150.1764051914215,8669.259345531464,9819.435750722885,0,0,0,703,0,29,385
2013-03-12,1150.1764051914215,8531.406425237656,9681.582830429077,0,0,0,703,0,29,385
2013-03-13,1150.1764051914215,8501.995207071304,9652.171612262726,0,0,0,703,0,29,385
2013-03-14,1150.1764051914215,8458.072152137756,9608.248557329178,0,0,0,703,0,29,385
2013-03-15,1150.1764051914215,8527.100058317184,9677.276463508606,0,0,0,703,0,29,385
2013-03-18,1150.1764051914215,8681.723323106766,9831.899728298187,0,0,0,703,0,29,385
2013-03-19,1150.1764051914215,8663.270709991455,9813.447115182877,0,0,0,703,0,29,385
2013-03-20,867.9164068698883,8935.356743335724,9803.273150205612,0,0,0,703,0,40,385
2013-03-21,635.7164137363434,9173.966192483902,9809.682606220245,0,0,0,703,0,49,385
2013-03-22,635.7164137363434,9328.289770841599,9964.006184577942,0,0,0,703,0,49,385
2013-03-25,460.156414270401,9540.411148786545,10000.567563056946,0,0,0,703,0,56,385
2013-03-26,460.156414270401,9526.806995630264,9986.963409900665,0,0,0,703,0,56,385
2013-03-27,460.156414270401,9465.571760892868,9925.728175163269,0,0,0,703,0,56,385
2013-03-28,460.156414270401,9294.83316707611,9754.989581346512,0,0,0,703,0,56,385
2013-04-01,561.8897590637207,9283.542190551758,9845.431949615479,0,0,0,668,0,56,385
2013-04-02,387.0674270987511,9481.054531037807,9868.121958136559,0,0,786,645,0,56,385
2013-04-03,221.13217827677732,9582.001194059849,9803.133372336626,0,0,1335,645,0,56,385
2013-04-04,221.13217827677732,9612.343845933676,9833.476024210453,0,0,1335,645,0,56,385
2013-04-05,104.20275399088865,9665.177766382694,9769.380520373583,0,0,1335,645,6,56,385
2013-04-08,45.98203560709959,9752.044670343399,9798.026705950499,0,0,1335,645,9,56,385
2013-04-09,45.98203560709959,9698.187681555748,9744.169717162848,0,0,1335,645,9,56,385
2013-04-10,45.98203560709959,9940.807436704636,9986.789472311735,0,0,1335,645,9,56,385
2013-04-11,45.98203560709959,10019.742247462273,10065.724283069372,0,0,1335,645,9,56,385
2013-04-12,61.31578499078756,9924.837523460388,9986.153308451176,0,0,1288,645,9,56,385
2013-04-15,61.31578499078756,9708.872227191925,9770.188012182713,0,0,1288,645,9,56,385
2013-04-16,61.31578499078756,9924.688914060593,9986.00469905138,0,0,1288,645,9,56,385
2013-04-17,46.851855814457,9586.605643987656,9633.457499802113,0,0,1288,645,9,56,386
